name,grades,neighborhood,address,phone
Alamo Elementary School,Grades K-5,Outer Richmond,250-23rd Avenue,(415) 750-8456
Alvarado Elementary School,Grades K-5,Noe Valley,625 Douglass Street,(415) 695-5695
Argonne Elementary School,Grades K-5,Inner Richmond,680-18th Avenue,(415) 750-8460
Bryant Elementary School,Grades K-5,Mission,2641 - 25th St.,(415) 695-5780
Buena Vista/Horace Mann,Grades K-8,Mission,3351-23rd Street,(415) 695-5881
Bessie Carmichael (K-5 Campus),Grades K-8,South of Market,375-7th Street,(415) 615-8441
Dr. George Washington Carver Elementary School,Grades K-5,Bayview,1360 Oakdale Avenue,(415) 330-1540
Cesar Chavez Elementary School,PreK-5,Mission,825 Shotwell Street,(415) 695-5765
John Yehall Chin Elementary School,Grades K-5,North Beach,350 Broadway Street,(415) 291-7946
Chinese Education Center Elementary School,Grades K-5,Financial District,657 Merchant Street,(415) 291-7918
Chinese Immersion School at DeAvila,Grades K-4,Haight Ashbury,1250 Waller Street,(415) 241-6325
Clarendon Elementary School,Grades K-5,Inner Sunset,500 Clarendon Ave 94131,(415) 759-2796
Cleveland Elementary School,Grades K-5,Excelsior,455 Athens Street,(415) 469-4709
Dr. William L. Cobb Elementary School,PreK-5,Western Addition,2725 California Street,(415) 749-3505
Dr. Charles R. Drew Elementary School,Grades K-5,Bayview,50 Pomona Avenue,(415) 330-1526
El Dorado Elementary School,Grades K-5,Visitacion Valley,70 Delta Street,(415) 330-1537
Fairmount Elementary School,PreK-5,Glen Park,65 Chenery Street,(415) 695-5669
Dianne Feinstein Elementary School,Grades K-5,Parkside,2550 25th Avenue,(415) 615-8460
Leonard Flynn Elementary School,Grades K-5,Bernal Heights,3125 Cesar Chavez Street,(415) 695-5770
Garfield Elementary School,Grades K-5,North Beach,420 Filbert Street,(415) 291-7924
Glen Park Elementary School,Grades K-5,Outer Mission,151 Lippard Avenue,(415) 469-4713
Grattan Elementary School,Grades K-5,Haight Ashbury,165 Grattan Street,(415) 759-2815
Guadalupe Elementary School,Grades K-5,Crocker Amazon,859 Prague Street,(415) 469-4718
Bret Harte Elementary School,Grades K-5,Bayview,1035 Gilman Avenue,(415) 330-1520
